datetime,symbol,side,price,qty_usdt,entry_price,pnl_usdt,pnl_pct,reason
2026-03-24 16:22:38,ADAUSDT,BUY,0.266000,200.00,0.266000,0.0000,0.00,signal
2026-03-24 16:23:44,ADAUSDT,SELL,0.262000,200.00,0.266000,-3.0075,-1.50,exchange_sl_tp
2026-03-24 16:32:16,TRXUSDT,BUY,0.304740,200.00,0.304740,0.0000,0.00,signal
2026-03-24 16:36:04,TRXUSDT,SELL,0.322890,200.00,0.304740,11.9214,5.96,bb_midline
2026-03-24 16:48:00,SOLUSDT,BUY,93.460000,200.00,93.460000,0.0000,0.00,signal
2026-03-24 16:49:06,SOLUSDT,SELL,90.630000,200.00,93.460000,-6.0473,-3.02,stop_loss
2026-03-24 17:05:20,TRXUSDT,BUY,0.303100,200.00,0.303100,0.0000,0.00,signal
2026-03-24 17:07:30,TRXUSDT,SELL,0.303160,200.00,0.303100,0.0397,0.02,stop_loss
2026-03-24 17:09:40,TRXUSDT,BUY,0.308000,200.00,0.308000,0.0000,0.00,signal
2026-03-24 17:10:45,TRXUSDT,SELL,0.316090,200.00,0.308000,5.2608,2.63,take_profit
2026-03-24 17:13:58,SOLUSDT,BUY,93.510000,200.00,93.510000,0.0000,0.00,signal
2026-03-24 17:14:00,TRXUSDT,BUY,0.306000,200.00,0.306000,0.0000,0.00,signal
2026-03-24 17:15:03,SOLUSDT,SELL,89.270000,200.00,93.510000,-9.1996,-4.60,stop_loss
2026-03-24 17:15:06,TRXUSDT,SELL,0.316900,200.00,0.306000,7.0753,3.54,take_profit
2026-03-24 17:20:53,ADAUSDT,BUY,0.263000,200.00,0.263000,0.0000,0.00,signal
2026-03-24 17:21:39,ADAUSDT,SELL,0.257000,200.00,0.263000,-4.4900,-2.24,stop_loss
2026-03-24 17:22:45,ADAUSDT,BUY,0.263000,200.00,0.263000,0.0000,0.00,signal
2026-03-24 17:23:52,ADAUSDT,SELL,0.265000,200.00,0.263000,1.4967,0.75,bb_midline
2026-03-24 17:25:20,ADAUSDT,BUY,0.263000,200.00,0.263000,0.0000,0.00,signal
2026-03-24 17:28:36,ADAUSDT,SELL,0.258000,200.00,0.263000,-3.7705,-1.89,stop_loss
2026-03-24 17:30:47,ADAUSDT,BUY,0.263000,200.00,0.263000,0.0000,0.00,signal
2026-03-24 17:30:49,TRXUSDT,BUY,0.308000,200.00,0.308000,0.0000,0.00,signal
2026-03-24 17:31:59,TRXUSDT,SELL,0.300000,200.00,0.308000,-5.1947,-2.60,stop_loss
2026-03-24 17:33:05,ADAUSDT,SELL,0.257000,200.00,0.263000,-9.1364,-4.57,stop_loss
2026-03-24 17:33:20,ADAUSDT,BUY,0.264000,200.00,0.264000,0.0000,0.00,signal
